"COD_CURSO","COD_DISCIPLINA","TIPO","DISCIPLINA","CREDITOS","COD_SETOR","SEMESTRE_IDEAL"
14102100,1411216,"Optativa","PROGRAMAÇÃO FUNCIONAL",4,"14110000",
14102100,1411217,"Optativa","PROJETO DE REDES DE COMPUTADORES",4,"14110000",
14102100,1411218,"Optativa","REDES DE PETRI",4,"14110000",
14102100,1411219,"Optativa","ROBÓTICA",4,"14110000",
14102100,1411220,"Optativa","SISTEMAS BASEADOS EM CONHECIMENTO",4,"14110000",
14102100,1411221,"Optativa","SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS",4,"14110000",
14102100,1411222,"Optativa","SISTEMAS DISTRIBUIDOS",4,"14110000",
14102100,1411223,"Optativa","SISTEMAS EM TEMPO REAL",4,"14110000",
14102100,1411224,"Optativa","SISTEMAS MULTIMÍDIA",4,"14110000",
14102100,1411225,"Optativa","VISÃO ARTIFICIAL",4,"14110000",
14102100,1411226,"Optativa","REDES NEURAIS",4,"14110000",
14102100,1411227,"Optativa","TECC ( ADMINISTRAÇÃO DE SGBD'S)",4,"14110000",
14102100,1411228,"Optativa","TECC (INTELIGENCIA ARTIFICIAL II)",4,"14110000",
14102100,1411230,"Optativa","TECC ( DATA MINING)",4,"14110000",
14102100,1411231,"Optativa","TECC (SEMINARIOS -  NOVAS TECNOLOGIAS)",1,"14110000",
14102100,1411232,"Optativa","TECC(ORGANIZACAO INTERNA DO LINUX)",4,"14110000",
14102100,1411233,"Optativa","TECC (SUPORTE A SISTEMAS)",4,"14110000",
14102100,1411234,"Optativa","TECC (COMPUTAÇÃO QUANTICA)",4,"14110000",
14102100,1411235,"Optativa","TECC(DESENV.DE APLIC.CORPORAT.AVANÇADAS)",4,"14110000",
14102100,1411236,"Optativa","TECC (SISTEMAS DE APOIO A DECISÃO)",4,"14110000",
14102100,1411237,"Optativa","TECC (COMPUTAÇÃO PARALELA)",2,"14110000",
14102100,1411238,"Complementar","SEMINÁRIOS (EDUCAÇÃO AMBIENTAL)",0,"14110000",
14102100,1411239,"Complementar","SEMINÁRIOS (EDUCAÇÃO ESPECIAL)",0,"14110000",
14102100,1411240,"Complementar","SEMINARIOS (DIREITOS HUMANOS)",0,"14110000",
14102100,1411241,"Optativa","TECC (PROJETO INTERFACES HOMEM-MÁQUINA)",4,"14110000",
14102100,1411242,"Optativa","TECC(SEGURANCA EM REDES DE COMPUTADORES)",4,"14110000",
14102100,1411243,"Optativa","TECC(ALGORITMOS AVANÇADOS I )",2,"14110000",
14102100,1411244,"Optativa","TECC(ECONOMIA DE TECNOLOGIA DA INFORMAÇÃ",4,"14110000",
14102100,1411245,"Optativa","TECC(PROLOG E SIST BAS EM CONHECIMENTOS)",2,"14110000",
14102100,1411246,"Optativa","TECC (INIC. À PESQ. APL. EM INFORMÁTICA)",4,"14110000",
14102100,1411247,"Optativa","TECC(ALGORITMOS AVANÇADOS II)",2,"14110000",
14102100,1411248,"Optativa","TECC (SISTEMAS DE APOIO A DECISÃO II)",4,"14110000",
14102100,1411249,"Optativa","TECC (METODOS FORMAIS)",4,"14110000",
14102100,1411250,"Optativa","TECC(ALGORITMOS  AVANÇADOS III )",4,"14110000",
14102100,1411251,"Optativa","TECC(ALGORITMOS  AVANÇADOS IV)",2,"14110000",
14102100,1411254,"Optativa","TECC(PROCESSAMENTO DIGITAL DE IMAGEM)",4,"14110000",
14102100,1411255,"Optativa","TECC(LAB DE SISTEMAS OPERACIONAIS)",2,"14110000",
14102100,1411256,"Optativa","TEC(PRINCIPIOS DE ADMIN FINANCEIRA)",4,"14110000",
14102100,1411257,"Optativa","TECC (INTRODUÇÃO À MECÂNICA QUÂNTICA)",2,"14110000",
14102100,1411258,"Optativa","TECC(ALGORITMOS AVANÇADOS V)",2,"14110000",
14102100,1411259,"Optativa","TECC (GRADES COMPUTACIONAIS)",2,"14110000",
14102100,1411260,"Optativa","TECC (INTRODUÇÃO À COMPUTAÇÃO QUÂNTICA)",2,"14110000",
14102100,1411261,"Optativa","TECC (REDAÇÃO TÉCNICO-CIENTÍFICA)",4,"14110000",
14102100,1411262,"Optativa","TECC (ARQUITETURA DE SIST. EMBUTIDOS)",2,"14110000",
14102100,1411263,"Optativa","TECC(ALGORITMOS AVANÇADOS VI)",2,"14110000",
14102100,1411264,"Optativa","TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS)",4,"14110000",
14102100,1411265,"Optativa","TECC(REDES AD HOC SEM FIO)",4,"14110000",
14102100,1411266,"Optativa","TECC(FUND E APLIC. DE REALIDADE VIRTUAL",4,"14110000",
14102100,1411267,"Optativa","TECC(SISTEMAS DE RECUP DA INFORMAÇÃO)",4,"14110000",
14102100,1411268,"Optativa","TECC(MODELAGEM DE AMBIENTES VIRTUAIS)",4,"14110000",
14102100,1411269,"Optativa","TECC(MINERAÇÃO DE DADOS)",2,"14110000",
14102100,1411270,"Optativa","TECC (PROGRAMAÇÃO III)",4,"14110000",
14102100,1411271,"Optativa","TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS)",4,"14110000",
14102100,1411272,"Optativa","TECC(FLUXO DE TRABALHO INFORMATIZADO)",4,"14110000",
14102100,1411273,"Optativa","TECC (ARQUITETURA DE SOFTWARE)",4,"14110000",
14102100,1411274,"Optativa","TECC(MET CIENT P/ PESQ EM C. DA COMPUT)",4,"14110000",
14102100,1411275,"Optativa","TECC(SISTEMAS COOPERATIVOS)",4,"14110000",
14102100,1411276,"Optativa","TECC(VISAO COMPUTACIONAL)",4,"14110000",
14102100,1411277,"Optativa","ATIVIDADES COMPLEMENTARES",10,"14110000",
14102100,1411279,"Optativa","TECC(ESTAGIO INTEGRADO II)",4,"14110000",
14102100,1411280,"Optativa","TECC(TECNOLOGIAS DE COMUNICACAO SEM FIO)",4,"14110000",
14102100,1411281,"Optativa","TECC(EMPREENDEDORISMO EM SOFTWARE)",4,"14110000",
14102100,1411282,"Optativa","TECC(ADMINISTRACAO DE SISTEMAS)",4,"14110000",
